dataset,index,value
nearly_sorted,0,!!(auIjrQ#(2FZm^4OjVuFpCv;vXJ-b@cRf6F4MwwBaLW5pe*fVzgRz5%1&F@G*2t;84^2SQwY92a%DZvt42(xG4^%s-:!chqVtMw7*Z7TNg)(u21#SY
nearly_sorted,1,!&wqjuwgruXs1W:CjC1)urZA9qNor
nearly_sorted,2,!*A:SYQS%x2zs&1v%qBr-44EAy56d:knUilCY5Fuj1:%ou:JK(fHjQH8JO)(R@V2*uxOq:4LmcrS
nearly_sorted,3,!3CJRm3zn2p!EfVvw3BFV6Ow4
nearly_sorted,4,!70IX&0Iwis3F;eRAJ3rAe:V--KhVTKfCG^s(;^vdJ&GdTs290)AXTo33j92dO9)v9esRNa!dLSvqjokLOPWfKHrpJu79UMI@Uef;qj8z4P@KEJKbi9A5-2g82r;-M@MNy&OGrvc%9TIpPjZCxQkS;7Zu%Uu@-F(V)eQ:EN
nearly_sorted,5,!7AdgCUcdAyAWvxV0ThaGzaCzb2MNs-vu
nearly_sorted,6,!8D15ezBh;MSdXVnQDPtjzyQMF7Se-G%DePoJ8iYTz:&x-pI*Sv0f-AQLg18JozprRy0stLlgK1Y7miP06))TR:Oog4^JqWAreKLBE;S(9Zvh)7BIvXrSYvJZ%zZfy#e3s!k8qZf5h3p4M)jHh1JJNZOb!xGeOp-nXaW2ZgULnOO8n7lHFmk(FpujQ
nearly_sorted,7,!A^dlDEk4xFjZ4JSa%d7fuS-X7zWl8cYK(LCNz%Ull^kh^wfwdOmD5&:jty8gyWjml1Ut6TL6J^oa@qI)bZ&qGDQ*3BsPE5K@lR
nearly_sorted,8,!Ol@UbO(OhN
nearly_sorted,9,!Qz9NkM2^cgkw!bhB-sy%Av63f)nHHi8EBNFLvrZiY&3GCYhDlq4xgte-zVu5i99Ov6^-31
nearly_sorted,10,!Rw&xOLX;eE2dz9Y6q5R1(ofpmmjFasLO-pqj-yw2YLaIPWYtPy
nearly_sorted,11,!U&sOBh!dBHSeDvBBBe4FfnCHc4bz7kR2-ajinl)Vc(GH65Yun18V@j(%:B4SiUnqM!Oky;8wPSgmqj59jZfLh10Z3:z5I-Xt^h2kA)GbT3!v@Zz:FOid3J51e*FlER%kxZj&7r15OKH-1Gm9-Bdtwt8;:ZJYT*%H2!Yb0yrLO0^Ta
nearly_sorted,12,!U5Wq)Us(wkn^Bh6!:;1MfS-fYkO:SDUw)38wRel&#%*6j1Q^&gqzYL1if3RgUTmsjE2HY1ph&(MATYQ0pBiSX0jZk(g)gQ4JGFtDUP)m-wXatL%T!@P)n)bdVw@#nWqyd8hv
nearly_sorted,13,!Xqbv&g5GKA6jhCvRI!y-xH&v6D9wpnWZSpgd0wAh:fwbpZ)opQ^B0OLqK*dbU7vWvVxDq11V#1!2D9c7RN(UJOHok&nt!%yr%L!&RYGI%zHjnMYK4y0WO6Z%(Gq3QNa4vkg9^f3k3r
nearly_sorted,14,!Xu5p%tK22y;PJqlPL^&IzOaYQR-dAp^z@Bm68ECWT&FpRk;Th6A8MFH5OxUjS-K6P:JjkOxK@2s*ee3;uXS):%7H*!*y3YQ46#v0y-l%TP:V5vJX6
nearly_sorted,15,!Y;(H7oCkFj5@oCTh)d5gODoEM4ecwTuFvI!5xx7Vo&3pMoZ86nMlXCiYCutx-:uqs!#M;XNjoQq)!jYvOGUJ:%wTjjkdGv2Dx9XNTh7xKkXg0;6BXr1gKsnb!mCyT1KLVXD*ONqm4wjIV6IW(jSwSH)2n1K*0*3jkgCA5-#h0lwShMQ9;5OJHMO(3Rs
nearly_sorted,16,!f0X;Y2&Z!4)j(P3dn6OQo;8T6^i)jNjTL%ql!cSOGwcQjeQ1XcwjZk76qZQXmC%i7jvFeDw8-19CsTC:71f-NuWY3NUgrhAB2D%bmCKL;*4pIeINby(jD&yUOX2cbB-:v4BtGt!C88nTy5RU0q)mM)QEXAxHeNgHyBIz!dYa^&Hg&FJFdYa
nearly_sorted,17,!fLfli87L1TLobGbz4^Zi8WV%AK@yGuO^CTWaNwZnlZ:1tPB2hhwn%iwljihvBT)YxW#o52%auhZuXlL@4YR*7EuL^cDU6nxv#2eaxbO43cfbpb#COX*HOSxhvN&!Pa@tybU2!pcEk@GfD-%%%8vFEBpEXlfSy)xoBLAzl&mUJ;y-HgIKJC4JUt8hfn6H6q!gNm!81
nearly_sorted,18,!h7Jwd:RhYNk8N)i05HZ*9^kvnPM7RbX#3m2UqPB(8!oRQ(qri2kP92Y!Hi*NjgLxV7lfujAghxo:IYNmM5Y;Di::G#2!eghvJ!0ZlV&@rV1Jw8Yru323r14LX2H@KTI1dHgY!N-5TfTybNGnfe9LEJEZ1xq6nEU:xAw%5!K;9#BfZLDSB&Yi)1KHQACPn;GIx)otmx
nearly_sorted,19,!h;UbXb%&Sbri!:YJbD*i;K#A#ceeu@cF;N2CY#t%&KhWivdt;OlVkgLsmSP7oNfCIB#YLD0!1sJ@^vuN7h9VE7b67DbHD3dEbI*GtaMr^9pZ1^flqeK1aTlS6%Sq;3JLsgqkubMd:KKFw49W%JenchB#4bk-oJ4IKWO%uB%7MZ
nearly_sorted,20,!h;gBSvoPkE0#KeiqUcTm-aZ3xlT#1WbQ1Tzz8osl^5eubakX0W7Y48LZWwuAkh2wsQNxEGs*&X0DPQC)kF52@doCzbXXV*OjvNl7:wF&0;todJKxk1ZEQB7%ho%YPeor0wHGRv!Z
nearly_sorted,21,!kK78dbP8OeBz4wWTI(cqD2F)q7ntz!qFSa&cYM8&e77tCulmw^iC1TnAl*We-R&g7rsL^rGgPj^wFX%F(m3GvoPpj!EeECIBmUY0M(!r:CCZuAOqYK7vfTwQ-*jjd^mzYtRD8S(s)5Bdj:-JKCDVyV
nearly_sorted,22,!iq(1qSimzON&e%-vZ6wzeGFftFddmlw*P4wG(mXKZkPINsto%c@fl5X;jvxIclDYeI@2rx1W^sThI&XR@qN5D2BgsaCDFswSwGv45h#9vRD-FQ)Mqc2QeMzv2isBQ#1-h9EENW#S4igMw4
