algorithm,dataset,size,repetitions,mean_us,median_us,stddev_us,char_comparisons,char_accesses,sorted_ok
quick_sort,nearly_sorted,100,10,3.547,3.118,1.288,879,1758,true
quick_sort,nearly_sorted,200,10,6.229,5.963,0.899,2002,4004,true
quick_sort,nearly_sorted,300,10,9.894,9.297,1.931,3202,6404,true
quick_sort,nearly_sorted,400,10,13.004,12.725,0.778,4430,8860,true
quick_sort,nearly_sorted,500,10,17.106,16.483,2.140,5648,11296,true
quick_sort,nearly_sorted,600,10,22.817,21.311,5.615,7032,14064,true
quick_sort,nearly_sorted,700,10,25.697,24.915,2.452,8307,16614,true
quick_sort,nearly_sorted,800,10,29.447,28.369,2.911,9623,19246,true
quick_sort,nearly_sorted,900,10,35.185,33.664,3.178,10928,21856,true
quick_sort,nearly_sorted,1000,10,37.963,37.282,2.193,12246,24492,true
quick_sort,nearly_sorted,1100,10,42.395,41.582,3.493,13666,27332,true
quick_sort,nearly_sorted,1200,10,46.605,45.729,4.093,15066,30132,true
quick_sort,nearly_sorted,1300,10,53.493,50.502,10.434,16553,33106,true
quick_sort,nearly_sorted,1400,10,51.528,50.528,3.212,17958,35916,true
quick_sort,nearly_sorted,1500,10,61.145,61.285,2.270,19379,38758,true
quick_sort,nearly_sorted,1600,10,74.163,66.040,24.919,20835,41670,true
quick_sort,nearly_sorted,1700,10,69.752,67.916,4.253,22286,44572,true
quick_sort,nearly_sorted,1800,10,77.608,73.140,10.630,23643,47286,true
quick_sort,nearly_sorted,1900,10,85.777,80.487,14.840,25089,50178,true
quick_sort,nearly_sorted,2000,10,75.726,72.814,6.770,26514,53028,true
quick_sort,nearly_sorted,2100,10,77.112,76.651,2.386,27935,55870,true
quick_sort,nearly_sorted,2200,10,82.770,81.763,2.328,29667,59334,true
quick_sort,nearly_sorted,2300,10,93.510,85.811,19.370,31023,62046,true
quick_sort,nearly_sorted,2400,10,100.362,95.517,13.393,32656,65312,true
quick_sort,nearly_sorted,2500,10,100.497,99.574,2.661,34023,68046,true
quick_sort,nearly_sorted,2600,10,103.626,102.254,6.700,35648,71296,true
quick_sort,nearly_sorted,2700,10,109.592,109.184,9.290,37324,74648,true
quick_sort,nearly_sorted,2800,10,117.836,114.843,11.406,38704,77408,true
quick_sort,nearly_sorted,2900,10,121.597,114.804,18.355,40215,80430,true
quick_sort,nearly_sorted,3000,10,123.177,120.370,9.855,41830,83660,true
quick_sort,random,100,10,4.277,3.226,1.918,642,1284,true
quick_sort,random,200,10,8.549,7.864,2.793,1591,3182,true
quick_sort,random,300,10,15.294,13.784,3.766,2938,5876,true
quick_sort,random,400,10,27.727,27.545,4.932,4549,9098,true
quick_sort,random,500,10,35.225,34.029,6.756,6003,12006,true
quick_sort,random,600,10,44.621,44.465,3.139,7009,14018,true
quick_sort,random,700,10,57.051,55.961,3.311,8342,16684,true
quick_sort,random,800,10,67.909,66.928,5.482,10757,21514,true
quick_sort,random,900,10,79.850,79.615,6.149,13283,26566,true
quick_sort,random,1000,10,78.091,77.085,3.492,13583,27166,true
quick_sort,random,1100,10,95.236,94.251,5.345,14942,29884,true
quick_sort,random,1200,10,111.408,110.385,8.700,17078,34156,true
quick_sort,random,1300,10,107.063,103.925,6.162,19085,38170,true
quick_sort,random,1400,10,126.944,119.134,17.525,20959,41918,true
quick_sort,random,1500,10,128.926,128.452,3.489,24482,48964,true
quick_sort,random,1600,10,143.826,141.314,10.496,25381,50762,true
quick_sort,random,1700,10,160.396,159.968,7.277,29364,58728,true
quick_sort,random,1800,10,166.351,162.478,11.182,29802,59604,true
quick_sort,random,1900,10,184.739,184.321,7.948,29945,59890,true
quick_sort,random,2000,10,194.265,192.350,13.379,32363,64726,true
quick_sort,random,2100,10,197.181,190.221,13.701,36124,72248,true
quick_sort,random,2200,10,212.870,211.511,9.016,40637,81274,true
quick_sort,random,2300,10,236.353,226.749,22.989,39624,79248,true
quick_sort,random,2400,10,228.983,223.407,11.829,42182,84364,true
quick_sort,random,2500,10,247.689,242.164,14.908,42142,84284,true
quick_sort,random,2600,10,254.424,250.365,10.214,45755,91510,true
quick_sort,random,2700,10,290.531,283.923,26.243,46884,93768,true
quick_sort,random,2800,10,291.985,294.276,10.329,51637,103274,true
quick_sort,random,2900,10,297.677,295.731,8.197,51793,103586,true
quick_sort,random,3000,10,341.548,333.964,25.176,55353,110706,true
quick_sort,reverse,100,10,3.526,3.179,0.743,937,1874,true
quick_sort,reverse,200,10,6.757,6.342,1.190,2106,4212,true
quick_sort,reverse,300,10,10.879,10.203,1.638,3384,6768,true
quick_sort,reverse,400,10,14.955,13.968,2.332,4693,9386,true
quick_sort,reverse,500,10,22.977,21.325,4.747,5977,11954,true
quick_sort,reverse,600,10,26.137,25.714,2.994,7317,14634,true
quick_sort,reverse,700,10,30.532,29.254,3.147,8869,17738,true
quick_sort,reverse,800,10,38.677,38.046,3.662,10202,20404,true
quick_sort,reverse,900,10,44.173,40.874,7.443,11598,23196,true
quick_sort,reverse,1000,10,51.770,53.113,3.933,13016,26032,true
quick_sort,reverse,1100,10,57.823,55.203,6.705,14393,28786,true
quick_sort,reverse,1200,10,59.934,59.204,3.750,15838,31676,true
quick_sort,reverse,1300,10,66.389,64.834,4.921,17576,35152,true
quick_sort,reverse,1400,10,76.628,73.527,8.015,18986,37972,true
quick_sort,reverse,1500,10,79.268,77.869,8.407,20509,41018,true
quick_sort,reverse,1600,10,91.317,90.869,8.520,22068,44136,true
quick_sort,reverse,1700,10,95.014,93.371,10.959,23481,46962,true
quick_sort,reverse,1800,10,91.173,91.191,4.903,25020,50040,true
quick_sort,reverse,1900,10,92.984,92.784,4.320,26418,52836,true
quick_sort,reverse,2000,10,101.969,99.786,7.462,27954,55908,true
quick_sort,reverse,2100,10,115.112,110.671,9.999,29460,58920,true
quick_sort,reverse,2200,10,118.336,111.163,12.916,30910,61820,true
quick_sort,reverse,2300,10,126.488,123.219,9.351,32796,65592,true
quick_sort,reverse,2400,10,157.203,149.238,17.031,34057,68114,true
quick_sort,reverse,2500,10,172.111,164.221,29.063,35841,71682,true
quick_sort,reverse,2600,10,186.738,167.236,35.616,37687,75374,true
quick_sort,reverse,2700,10,158.920,152.372,19.081,39411,78822,true
quick_sort,reverse,2800,10,159.472,160.088,8.313,40894,81788,true
quick_sort,reverse,2900,10,161.674,159.963,11.694,42507,85014,true
quick_sort,reverse,3000,10,199.927,194.860,20.130,43889,87778,true
merge_sort,nearly_sorted,100,10,12.948,11.937,2.290,601,1202,true
merge_sort,nearly_sorted,200,10,24.574,24.217,2.132,1326,2652,true
merge_sort,nearly_sorted,300,10,42.250,41.296,2.868,2071,4142,true
merge_sort,nearly_sorted,400,10,58.127,56.633,4.202,2874,5748,true
merge_sort,nearly_sorted,500,10,88.010,86.520,10.713,3796,7592,true
merge_sort,nearly_sorted,600,10,105.243,103.386,12.968,4497,8994,true
merge_sort,nearly_sorted,700,10,112.782,110.341,6.888,5264,10528,true
merge_sort,nearly_sorted,800,10,133.088,133.825,6.536,6140,12280,true
merge_sort,nearly_sorted,900,10,151.291,148.503,6.002,7135,14270,true
merge_sort,nearly_sorted,1000,10,169.713,155.091,33.817,8048,16096,true
merge_sort,nearly_sorted,1100,10,163.538,161.950,9.286,8826,17652,true
merge_sort,nearly_sorted,1200,10,182.929,183.519,9.661,9492,18984,true
merge_sort,nearly_sorted,1300,10,204.916,204.898,6.993,10439,20878,true
merge_sort,nearly_sorted,1400,10,220.437,217.769,12.135,11197,22394,true
merge_sort,nearly_sorted,1500,10,241.858,236.445,15.198,12168,24336,true
merge_sort,nearly_sorted,1600,10,262.180,263.683,9.704,13048,26096,true
merge_sort,nearly_sorted,1700,10,283.034,278.269,20.811,13953,27906,true
merge_sort,nearly_sorted,1800,10,289.880,287.130,10.931,15077,30154,true
merge_sort,nearly_sorted,1900,10,305.255,298.312,17.393,15999,31998,true
merge_sort,nearly_sorted,2000,10,325.094,318.144,13.741,17092,34184,true
merge_sort,nearly_sorted,2100,10,359.795,355.505,20.529,18050,36100,true
merge_sort,nearly_sorted,2200,10,385.499,381.962,19.376,18629,37258,true
merge_sort,nearly_sorted,2300,10,376.914,375.930,12.483,19513,39026,true
merge_sort,nearly_sorted,2400,10,392.983,380.711,29.292,20227,40454,true
merge_sort,nearly_sorted,2500,10,400.066,398.463,19.448,20942,41884,true
merge_sort,nearly_sorted,2600,10,438.979,435.816,18.178,22020,44040,true
merge_sort,nearly_sorted,2700,10,465.500,463.496,9.485,22806,45612,true
merge_sort,nearly_sorted,2800,10,469.856,463.371,31.841,23709,47418,true
merge_sort,nearly_sorted,2900,10,510.088,502.296,44.317,24725,49450,true
merge_sort,nearly_sorted,3000,10,496.837,483.899,29.945,25827,51654,true
merge_sort,random,100,10,15.766,15.040,2.309,592,1184,true
